prompt_id;prompt_type;prompt;;;
2017863-1;OY;Lemonsoft Oy;;;
2077519-6;OY;APM Solutions Oy;;;
2077474-0;OY;Stereoscape Oy;;;
2082978-0;OY;Portal Services Finland Oy;;;
2082467-2;OY;TX Tomorrow Explored Oy;;;
2079937-4;OY;RP5 Software Oy;;;
2067232-2;OY;Karjalan ATK-Awot Oy;;;
2037971-6;OY;Elidor Oy;;;
2056618-3;OY;TIETOTEKNIIKKAPALVELUT MIKA TUNNINEN OY;;;
2064451-6;OY;Smart Valley Software Oy;;;
2081712-2;OY;Elmi Oy;;;
2056430-5;OY;SL Systems Oy;;;
2062705-4;OY;PlanMill Oy;;;
2051580-2;OY;LAV Security Oy;;;
2074250-3;OY;JNT Finland Oy;;;
2039750-0;OY;Tutanet Oy;;;
2020437-7;OY;YlläpitoCOM ICT Oy;;;
2017825-2;OY;Findhill Oy;;;
2073393-0;OY;GridMetric Oy;;;
2033182-7;OY;Nettiaika Oy;;;
2029114-0;OY;GISPOSITIO OY;;;
2082918-2;OY;Secret Exit Oy;;;
2048440-1;OY;Terre Oy;;;
2039717-2;OY;Kofax Finland Technologies Oy;;;
2073609-0;OY;Evalsor Oy;;;
2081793-1;OY;Brave Digital Oy;;;
2039737-5;OY;Solid Boot Oy;;;
2034099-3;OY;Suomitech Oy;;;
2063746-3;OY;Siptronix Oy;;;
2030873-1;OY;Tietoverkko FI Oy;;;
2074801-6;OY;Systam Oy;;;
2012944-2;OY;Bonware Consulting Oy;;;
2046650-2;OY;Nordcloud Solutions Oy;;;
2073424-7;OY;Enkora Oy Ltd;;;
2077628-7;OY;Circles Consulting Oy;;;
2060048-4;OY;AccelBit Oy;;;
2056208-6;OY;Erkules Oy;;;
2067306-9;OY;Tampere eScience Applications Center Oy;;;
2035268-7;OY;Cortex Partners Oy;;;
2083679-6;OY;Casalfa Oy;;;
2030931-2;OY;Klikki Oy;;;
2052343-1;OY;Tietum Oy;;;
2057768-3;OY;ELECTO OY;;;
2063355-0;OY;Villa Backa Ventures Oy;;;
2028434-6;OY;Boogie Software Oy;;;
2029939-6;OY;Secure Finland Oy;;;
2077522-5;OY;Siptune oy;;;
2015561-6;OY;Versoft Oy;;;
2052419-4;OY;ARCTIC CONNECT OY;;;
2083270-1;OY;Movial Creative Technologies Oy;;;
2026653-5;OY;JAS Partners Oy;;;
2042298-0;OY;Sifix Oy;;;
2084087-5;OY;Netproce Oy;;;
2058080-7;OY;Qvantel Oy;;;
2083113-5;OY;Cougar Holding Oy;;;
2047815-9;OY;TJ-PRO Oy;;;
2081331-6;OY;Amedia Direct Oy;;;
2057773-9;OY;Okka Oy;;;
2081689-1;OY;Booste Oy;;;
2077856-5;OY;Ristanet Oy;;;
2040696-4;OY;Brieftec Oy;;;
2078549-0;OY;Gavidae Oy;;;
2081710-6;OY;Seltimil Oy;;;
2083997-0;OY;Kuitutalo Oy;;;
2046733-7;OY;Forito Oy;;;
2039666-3;OY;Jenkia Oy;;;
2069905-8;OY;Advant Games Oy Ltd;;;
2082131-6;OY;Visidon Oy;;;
2023820-0;OY;Lynx Technology Finland Oy;;;
2032762-5;OY;WispNet Oy;;;
2084085-9;OY;SSFC Media Oy;;;
2034915-4;OY;Ab Dynamic Mill Oy;;;
2049687-5;OY;DC Tieto Oy;;;
2044260-7;OY;Wearfone Oy;;;
2059709-4;OY;Alter Data Oy;;;
2061169-3;OY;Kuumies Oy;;;
2068147-2;OY;ICT Project House Oy;;;
2022506-3;OY;Dacotech Oy;;;
2022424-7;OY;Snowball Factory Oy;;;
2081131-0;OY;Humeko Oy;;;
2074290-9;OY;Inno-W Oy;;;
2039944-2;OY;Radiant Bytes Oy;;;
2065665-6;OY;United Users Oy;;;
2069378-0;OY;Blurtek Oy;;;
2063598-6;OY;Asset Vision Oy;;;
2056359-9;OY;Hips Consulting Oy;;;
2082926-2;OY;Ab Söderholms IT-tjänster Oy;;;
2044859-0;OY;Just-IT Åland Ab;;;
2053782-5;OY;Aktagon Ab;;;
2026358-8;OY;Axiom Oy;;;
2029713-9;OY;XCure Solutions Oy;;;
2073368-2;OY;SEL-it Oy;;;
2081673-6;OY;Kelonia Service Ab Oy;;;
2020325-1;OY;ECDL Finland Oy;;;
2050018-4;OY;PHZ Game Studios Oy;;;
2082069-8;OY;FieldForce Mobile Solutions Oy Ab;;;
2072342-5;OY;Napita Oy;;;
2078607-1;OY;Sigma Solutions Oy;;;
2080912-2;OY;Mx Software Oy;;;
2056727-4;OY;Movila Oy;;;
2061038-3;OY;Codepoli Oy;;;
2032520-8;OY;Mountain Sheep Oy;;;
2069857-3;OY;Instigo Solutions Oy;;;
2036660-8;OY;Miradore Oy;;;
2018866-1;OY;Kiaso Oy;;;
2017543-0;OY;Threeplay Oy;;;
2050571-9;OY;Disec Oy;;;
2078938-7;OY;Kooditutorit Konsultointi Oy;;;
2018231-5;OY;PolarWeb Oy;;;
2068825-2;OY;Eneroc Oy;;;
2049705-0;OY;Arda Oy;;;
2084358-2;OY;Fiare Solutions Oy;;;
2016865-2;OY;Pointware Oy;;;
2015302-0;OY;Cleverhill Oy;;;
2082198-1;OY;Cynetkey Oy;;;
2069047-5;OY;Kuutostuote Oy;;;
2029884-4;OY;Craft Finland Oy;;;
2020829-8;OY;Virtual Air Guitar Company Oy;;;
2041018-9;OY;Symmetria Software Oy;;;
2072884-0;OY;Qbitech Oy;;;
2014327-9;OY;InnoWii Oy;;;
2034944-5;OY;Archipelago Technics Oy;;;
2054963-1;OY;A4SP Technologies Oy;;;
2064672-2;OY;AB NameISP;;;
2056426-8;OY;eTietohanke Finland Oy;;;
2065706-9;OY;Novel Content Oy Ltd;;;
2028160-4;OY;Nettivire Oy;;;
2072493-8;OY;Simon Consulting Oy;;;
2060883-0;OY;Netsecure Oy;;;
2035837-6;OY;Arietis Oy;;;
2046044-2;OY;Suomen Virtuaalivarasto Oy;;;
2068642-5;OY;Alexsoft Oy;;;
2083689-2;OY;Pharmadocs Software Oy;;;
2059440-8;OY;Nyholm Solutions Oy Ab;;;
2081687-5;OY;Visma Tampuuri Oy;;;
2078059-3;OY;Soketti Innovations Oy;;;
2042829-0;OY;Inno Creations Oy;;;
2079892-9;OY;KJo Consulting Oy;;;
2075652-6;OY;IT-Pie Oy;;;
2035874-7;OY;Innofile Oy;;;
2072921-0;OY;WirelessZT Finland Oy;;;
2039582-0;OY;Consulo Oy;;;
2045944-1;OY;Tampereen Sellueriste Oy;;;
2022077-2;OY;Remusa Oy;;;
2018419-3;OY;Celerpak Oy;;;
2074345-0;OY;Vane Service Oy;;;
2070933-2;OY;Ilves Jakelu Oy;;;
2083382-7;OY;Porvoon Mediajakelu Oy;;;
2037843-0;OY;Koneurakointi Timonen Pauli Oy;;;
2082423-4;OY;Pulmikka Oy;;;
2043310-2;OY;Piipsan Turve Oy;;;
2079677-1;OY;Fontell Granite Ltd Oy;;;
2032569-7;OY;Konttikangas Oy;;;
2019542-3;OY;KS-Rautatalo Oy;;;
2023742-7;OY;Prinkkilä Oy;;;
2059946-0;OY;Koneurakointi A. J. Hyvönen Oy;;;
2067208-2;OY;MaaMurRit Oy;;;
2075315-7;OY;Rauman Murske Oy;;;
2046072-5;OY;Källberg Ab;;;
2027604-7;OY;Lännen Koneurakointi Oy;;;
2042707-9;OY;PTR-Kuljetus Oy;;;
2036291-4;OY;Eurakosken Woima Oy;;;
2045709-1;OY;Lämpö Korpela Oy;;;
2042003-7;OY;Hämeenkyrön Voima Oy;;;
2070530-7;OY;Katternö Kraft Oy Ab;;;
2044050-5;OY;Keravan Lämpövoima Oy;;;
2059588-1;OY;Caruna Espoo Oy;;;
2029142-3;OY;Närpes Fjärrvärme Ab - Närpiön Kaukolämpö Oy;;;
2075131-1;OY;LE-Sähköverkko Oy;;;
2056968-3;OY;Ab Pedersöre Värme - Pedersöre Lämpö Oy;;;
2080416-1;OY;Vieremän Lämpö ja Vesi Oy;;;
2069398-3;OY;Voimaosakeyhtiö SF;;;
2037154-6;OY;Lämpö Rautjärvi Oy;;;
2026153-1;OY;Kokkolan Energiaverkot Oy;;;
2057285-8;OY;Massakosken Voima Oy;;;
2045704-0;OY;Verkko Korpela Oy;;;
2012467-6;OY;Mateve Oy;;;
2059866-0;OY;JR Lämpö Oy;;;
2047128-0;OY;Kavo Oy;;;
2064700-4;OY;Kuopion Energia Oy;;;
2038408-0;OY;Vantaan Energia Sähköverkot Oy;;;
2081770-4;OY;MIEHIKKÄLÄN BIOLÄMPÖ OY;;;
2045305-8;OY;Ääneseudun Biolämpö Oy;;;
2030629-3;OY;Hämeenkosken Energia Oy;;;
2028245-5;OY;RBS Värme Ab;;;
2033847-1;OY;Jyväskylän Voima Oy;;;
2082654-7;OY;Sumergia Oy;;;
2053060-7;OY;Isonkyrön Lämpö Oy;;;
2042662-3;OK;Länsi-Karjalan Energiaosuuskunta;;;
2054056-5;OY;Veljekset Pääkkönen Oy;;;
2065168-7;OY;Rovaniemen Verkko Oy;;;
2058585-1;OY;Kymenlaakson Sähköverkko Oy;;;
2069341-4;OY;Kanteleen Voima Oy;;;
2012091-5;OY;Kuhmalahden Bioenergia Oy;;;
2046928-7;OY;Höyry ja Lämpö Oy;;;
2030683-2;OY;Vesilahti-Lempäälän Biopower Oy;;;
